Molecule Name,SMILES,TB SRI Kinase Phenotypic Screen SP: % Inhibition @10ug/ml (%)
AB00692646-01,O=S1(=O)CCC(C1)NCC1=CC=CN=C1,-0.36
AB00692645-01,CC(=O)C1=CC(NC2=NC(=NC3=CC=CC=C23)C2=CC=CC=C2)=CC=C1,6.27
AB00692644-01,[O-][N+](=O)C1=CC(NC2=NC(=NC3=CC=CC=C23)C2=CC=CC=C2)=CC=C1,0.33
AB00692642-01,O=C(CN1CCCC1)C12CC3CC(C1)CC(C3)(C2)C1=CC=CC=C1,-12.14
AB00692641-01,CNCC(=O)C12CC3CC(C1)CC(C3)(C2)C1=CC=CC=C1,-1.53
AB00692640-01,CC1=CC(Cl)=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,100.05
AB00692639-01,CC1=CC(Cl)=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,100.14
AB00692638-01,COC1=CC=C(Cl)C2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)CC1=CC=CC=C1,100.09
AB00692637-01,COC1=CC=C(Cl)C2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,95.48
AB00692636-01,CC1=C(Cl)C=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)COC1=CC=CC=C1,100.18
AB00692635-01,CC1=C(Cl)C=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)\C=C\C1=CC=CS1,99.52
AB00692634-01,CC1=C(Cl)C=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,100.16
AB00692633-01,CC1=C(C)C2=C(SC(=N2)N(CCCN2C=CN=C2)C(=O)COC2=CC=CC=C2)C=C1,100.11
AB00692632-01,COC1=CC=C(C=C1OC)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=CC(C)=C2C,97.39
AB00692631-01,CC1=C(C)C2=C(SC(=N2)N(CCCN2C=CN=C2)C(=O)C2=CC=CO2)C=C1,99.27
AB00692630-01,CC1=C(C)C2=C(SC(=N2)N(CCCN2C=CN=C2)C(=O)C2=CC=CS2)C=C1,100.16
AB00692629-01,CC1=C(C)C2=C(SC(=N2)N(CCCN2C=CN=C2)C(=O)C2=CC=C(F)C=C2)C=C1,100.03
AB00692628-01,COC1=CC=C(C)C2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)CC1=CC=C(F)C=C1,57.46
AB00692627-01,COC1=CC=C(C)C2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)CC1=CC=CC=C1,91.58
AB00692626-01,COC1=CC=C(C)C2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=C(Cl)S1,99.95
AB00692625-01,COC1=CC=C(C)C2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,99.52
AB00692624-01,COC1=CC=C(OC)C2=C1SC(=N2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,98.23
AB00692623-01,COC1=CC=C(OC)C2=C1SC(=N2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,77.03
AB00692622-01,COC1=CC=C(OC)C2=C1SC(=N2)N(CCCN1C=CN=C1)C(=O)C1=CC=C(F)C=C1,95
AB00692621-01,CC1=CC=C(C)C2=C1SC(=N2)N(CCCN1C=CN=C1)C(=O)COC1=CC=CC=C1,100.14
AB00692620-01,COC1=CC=C(C=C1OC)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C(C)=CC=C2C,97.33
AB00692619-01,CC1=CC=C(C)C2=C1SC(=N2)N(CCCN1C=CN=C1)C(=O)C1=CC=C(F)C=C1,99.9
AB00692618-01,COC1=CC=C(C=C1OC)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=C(C)C=C2C,94.78
AB00692617-01,CC(=O)C1=CC=C(C=C1)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=C(C)C=C2C,72.02
AB00692616-01,CC1=CC2=C(N=C(S2)N(CCCN2C=CN=C2)C(=O)C2=CC=CS2)C(C)=C1,100.13
AB00692615-01,COC1=CC(=CC(OC)=C1)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=C(C)C=C2C,100.18
AB00692614-01,COC1=CC(=CC(OC)=C1)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C(C)=CC(C)=C2,100.03
AB00692613-01,FC1=CC2=C(N=C(S2)N(CCCN2C=CN=C2)C(=O)C2=CC=CO2)C(F)=C1,99.29
AB00692612-01,FC1=CC2=C(N=C(S2)N(CCCN2C=CN=C2)C(=O)C2=CC=CS2)C(F)=C1,99.19
AB00692611-01,CCOC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)CC1=CC=C(F)C=C1,100.13
AB00692610-01,CCOC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)COC1=CC=CC=C1,88.06
AB00692609-01,CCOC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,99.57
AB00692608-01,CCOC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=C(F)C=C1,98.89
AB00692607-01,COC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)CC1=CC=C(F)C=C1,99.92
AB00692606-01,COC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CC(OC)=C1OC,98.6
AB00692605-01,COC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)\C=C\C1=CC=CS1,12.59
AB00692604-01,COC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC(OC)=CC(OC)=C1,70.46
AB00692603-01,COC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC(F)=CC=C1,84.04
AB00692602-01,COC1=C(OC)C(=CC=C1)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=C(C)C=C2,99.89
AB00692601-01,COC1=CC=C(C=C1OC)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=C(C)C=C2,53.83
AB00692600-01,CC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,99.34
AB00692599-01,CC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,99.62
AB00692598-01,BrC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,92.83
AB00692597-01,FC1=CC=C(CC(=O)N(CCCN2C=CN=C2)C2=NC3=C(S2)C=C(F)C=C3)C=C1,99.85
AB00692596-01,COC1=C(OC)C(=CC=C1)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=C(F)C=C2,96.85
AB00692595-01,FC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1COC2=C(O1)C=CC=C2,-7.13
AB00692594-01,COC1=CC=C(C=C1OC)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=C(F)C=C2,37.65
AB00692593-01,FC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,98.97
AB00692592-01,FC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,99.51
AB00692591-01,ClC1=CC2=C(C=C1)N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,99.92
AB00692590-01,CCOC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)CC1=CC=C(F)C=C1,99.89
AB00692589-01,COC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)CC1=CC=C(F)C=C1,99.6
AB00692588-01,COC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC2=C(OCCO2)C=C1,98.08
AB00692587-01,COC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,95.84
AB00692586-01,COC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,97.65
AB00692585-01,COC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC(F)=CC=C1,76.39
AB00692584-01,CCC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)\C=C\C1=CC=CS1,100.2
AB00692583-01,CCC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=C(OC)C(OC)=C1,98.89
AB00692582-01,CCC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,99.25
AB00692581-01,CCC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC(OC)=CC(OC)=C1,98.71
AB00692580-01,COC1=C(OC)C(=CC=C1)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=CC=C2C,99.93
AB00692579-01,CC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,99.67
AB00692578-01,FC1=CC=C(CC(=O)N(CCCN2C=CN=C2)C2=NC3=C(S2)C=CC=C3F)C=C1,99.87
AB00692577-01,FC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)CC1=CC=CC=C1,99.5
AB00692576-01,FC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)COC1=CC=C(Cl)C=C1,-4.54
AB00692575-01,FC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CO1,99.15
AB00692574-01,COC1=CC(=CC(OC)=C1)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=CC=C2F,92.75
AB00692573-01,ClC1=CC=CC2=C1N=C(S2)N(CCCN1C=CN=C1)C(=O)C1=CC=CS1,99.85
AB00692572-01,CC1=CC(C)=C(CC(=O)N(CCCN2C=CN=C2)C2=NC3=C(S2)C=CC=C3)C=C1,99.97
AB00692571-01,O=C(\C=C\C1=CC=CS1)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=CC=C2,99.24
AB00692570-01,COC1=CC=C(C=C1OC)C(=O)N(CCCN1C=CN=C1)C1=NC2=C(S1)C=CC=C2,9.63
AB00692569-01,O=C(N(CCCN1C=CN=C1)C1=NC2=C(S1)C=CC=C2)C1=CC=CO1,98.46
AB00692568-01,O=C(N(CCCN1C=CN=C1)C1=NC2=C(S1)C=CC=C2)C1=CC=CS1,98.74
AB00692567-01,CC1=CC(Cl)=CC2=C1N=C(S2)N(CCN1CCOCC1)C(=O)C1=CC=C(C=C1)C#N,-4.22
AB00692566-01,CC(=O)C1=CC=CC(NC2=NC(=NC(=N2)N2CCCC2)N2CCCC2)=C1,0.55
AB00692565-01,CC1=CC2=C(C=C1)N=C(S2)N(CCN1CCOCC1)C(=O)C1=CC=C(C=C1)C#N,9.47
AB00692564-01,O=C(N(CCN1CCOCC1)C1=NC2=C(S1)C=CC=C2)C1=CC=C(C=C1)C#N,1.03
AB00692563-01,CC1=CC(NC2=NC(=NC(NC3=CC=C(F)C=C3)=N2)N2CCOCC2)=CC(C)=C1,88.26
AB00692563-01,CC1=CC(NC2=NC(=NC(NC3=CC=C(F)C=C3)=N2)N2CCOCC2)=CC(C)=C1,0.33
AB00692563-01,CC1=CC(NC2=NC(=NC(NC3=CC=C(F)C=C3)=N2)N2CCOCC2)=CC(C)=C1,-17.75
AB00692563-01,CC1=CC(NC2=NC(=NC(NC3=CC=C(F)C=C3)=N2)N2CCOCC2)=CC(C)=C1,-33.76
AB00692562-01,CC1=C(C)C=C(NC2=NC(=NC(NC3=CC(F)=CC=C3)=N2)N2CCOCC2)C=C1,90.94
AB00692562-01,CC1=C(C)C=C(NC2=NC(=NC(NC3=CC(F)=CC=C3)=N2)N2CCOCC2)C=C1,76.93
AB00692562-01,CC1=C(C)C=C(NC2=NC(=NC(NC3=CC(F)=CC=C3)=N2)N2CCOCC2)C=C1,-16.96
AB00692562-01,CC1=C(C)C=C(NC2=NC(=NC(NC3=CC(F)=CC=C3)=N2)N2CCOCC2)C=C1,-31.66
AB00692561-01,CC1=CC=CC=C1NC1=NC(=NC(NC2=CC=CC=C2C)=N1)N1CCOCC1,0.46
AB00692561-01,CC1=CC=CC=C1NC1=NC(=NC(NC2=CC=CC=C2C)=N1)N1CCOCC1,-5.16
AB00692561-01,CC1=CC=CC=C1NC1=NC(=NC(NC2=CC=CC=C2C)=N1)N1CCOCC1,-12.17
AB00692561-01,CC1=CC=CC=C1NC1=NC(=NC(NC2=CC=CC=C2C)=N1)N1CCOCC1,-17.26
AB00692560-01,COC1=CC=C(NC2=NC(=NC(NC3=CC=C(OC)C=C3)=N2)N2CCOCC2)C=C1,1.96
AB00692560-01,COC1=CC=C(NC2=NC(=NC(NC3=CC=C(OC)C=C3)=N2)N2CCOCC2)C=C1,-4.33
AB00692560-01,COC1=CC=C(NC2=NC(=NC(NC3=CC=C(OC)C=C3)=N2)N2CCOCC2)C=C1,-6.06
AB00692560-01,COC1=CC=C(NC2=NC(=NC(NC3=CC=C(OC)C=C3)=N2)N2CCOCC2)C=C1,-11.97
AB00692559-01,CC1=C(C)C(NC2=NC(=NC(NC3=CC=CC(C)=C3C)=N2)N2CCOCC2)=CC=C1,-8.31
AB00692559-01,CC1=C(C)C(NC2=NC(=NC(NC3=CC=CC(C)=C3C)=N2)N2CCOCC2)=CC=C1,-8.42
