Molecule Name,SMILES,TB SRI Kinase Phenotypic Screen SP: % Inhibition @10ug/ml (%)
AB00681067-01,CC1=C(Cl)C=C(C=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(F)C=C3)C2C1=O,-22.39
AB00681067-01,CC1=C(Cl)C=C(C=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(F)C=C3)C2C1=O,-37.04
AB00681066-01,CC1=C(Cl)C=C(C=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=CC(Cl)=C3)C2C1=O,14.28
AB00681066-01,CC1=C(Cl)C=C(C=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=CC(Cl)=C3)C2C1=O,3.72
AB00681066-01,CC1=C(Cl)C=C(C=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=CC(Cl)=C3)C2C1=O,-3.85
AB00681066-01,CC1=C(Cl)C=C(C=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=CC(Cl)=C3)C2C1=O,-23.94
AB00681065-01,COC1=CC=C(NC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC(Cl)=C(C)C=C2)C=C1,2.2
AB00681065-01,COC1=CC=C(NC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC(Cl)=C(C)C=C2)C=C1,1.03
AB00681065-01,COC1=CC=C(NC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC(Cl)=C(C)C=C2)C=C1,-4.23
AB00681065-01,COC1=CC=C(NC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC(Cl)=C(C)C=C2)C=C1,-8.9
AB00681064-01,CC1=CC=CC=C1NC(=O)CN1N=NC2C1C(=O)N(C2=O)C1=CC(Cl)=C(C)C=C1,-1.95
AB00681064-01,CC1=CC=CC=C1NC(=O)CN1N=NC2C1C(=O)N(C2=O)C1=CC(Cl)=C(C)C=C1,-6.82
AB00681064-01,CC1=CC=CC=C1NC(=O)CN1N=NC2C1C(=O)N(C2=O)C1=CC(Cl)=C(C)C=C1,-17.02
AB00681064-01,CC1=CC=CC=C1NC(=O)CN1N=NC2C1C(=O)N(C2=O)C1=CC(Cl)=C(C)C=C1,-18.25
AB00681063-01,CC1=CC=C(CNC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC(C)=CC(C)=C2)C=C1,-1.28
AB00681063-01,CC1=CC=C(CNC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC(C)=CC(C)=C2)C=C1,-10.84
AB00681063-01,CC1=CC=C(CNC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC(C)=CC(C)=C2)C=C1,-11.35
AB00681063-01,CC1=CC=C(CNC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC(C)=CC(C)=C2)C=C1,-17.79
AB00681062-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=CC(Cl)=C3C)C2C1=O,3.52
AB00681062-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=CC(Cl)=C3C)C2C1=O,-13.87
AB00681062-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=CC(Cl)=C3C)C2C1=O,-16.84
AB00681062-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=CC(Cl)=C3C)C2C1=O,-17.08
AB00681061-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(Br)C=C3F)C2C1=O,11.47
AB00681061-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(Br)C=C3F)C2C1=O,-8.38
AB00681061-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(Br)C=C3F)C2C1=O,-10.05
AB00681061-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(Br)C=C3F)C2C1=O,-11.52
AB00681060-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(C)C(C)=C3)C2C1=O,-11.48
AB00681060-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(C)C(C)=C3)C2C1=O,-13.04
AB00681060-01,CC1=CC(=CC(C)=C1)N1C(=O)C2N=NN(CC(=O)NC3=CC=C(C)C(C)=C3)C2C1=O,-22.78
AB00681059-01,FC1=CC(NC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC3=C(OCCO3)C=C2)=CC=C1,-10.73
AB00681059-01,FC1=CC(NC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC3=C(OCCO3)C=C2)=CC=C1,-10.74
AB00681059-01,FC1=CC(NC(=O)CN2N=NC3C2C(=O)N(C3=O)C2=CC3=C(OCCO3)C=C2)=CC=C1,-23.42
AB00681058-01,NC(=O)C1=C(NC(=O)C2=CC(=O)C3=C(O2)C=CC=C3)C2=C(O1)C=CC=C2,28.53
AB00681058-01,NC(=O)C1=C(NC(=O)C2=CC(=O)C3=C(O2)C=CC=C3)C2=C(O1)C=CC=C2,-1.2
AB00681058-01,NC(=O)C1=C(NC(=O)C2=CC(=O)C3=C(O2)C=CC=C3)C2=C(O1)C=CC=C2,-1.79
AB00681058-01,NC(=O)C1=C(NC(=O)C2=CC(=O)C3=C(O2)C=CC=C3)C2=C(O1)C=CC=C2,-11.14
AB00681057-01,CCOC(=O)NC1=C(OC2=C1C=CC=C2)C(N)=O,1.25
AB00681057-01,CCOC(=O)NC1=C(OC2=C1C=CC=C2)C(N)=O,-2.43
AB00681057-01,CCOC(=O)NC1=C(OC2=C1C=CC=C2)C(N)=O,-8.77
AB00681057-01,CCOC(=O)NC1=C(OC2=C1C=CC=C2)C(N)=O,-8.98
AB00681056-01,COC1=CC=C(CCC(=O)NC2=C(OC3=C2C=CC=C3)C(N)=O)C=C1,-0.74
AB00681056-01,COC1=CC=C(CCC(=O)NC2=C(OC3=C2C=CC=C3)C(N)=O)C=C1,-6.75
AB00681056-01,COC1=CC=C(CCC(=O)NC2=C(OC3=C2C=CC=C3)C(N)=O)C=C1,-8.79
AB00681056-01,COC1=CC=C(CCC(=O)NC2=C(OC3=C2C=CC=C3)C(N)=O)C=C1,-14.78
AB00681055-01,NC(=O)C1=C(NC(=O)C(=O)C2=CNC3=C2C=CC=C3)C2=C(O1)C=CC=C2,2.35
AB00681055-01,NC(=O)C1=C(NC(=O)C(=O)C2=CNC3=C2C=CC=C3)C2=C(O1)C=CC=C2,-7.15
AB00681055-01,NC(=O)C1=C(NC(=O)C(=O)C2=CNC3=C2C=CC=C3)C2=C(O1)C=CC=C2,-7.29
AB00681055-01,NC(=O)C1=C(NC(=O)C(=O)C2=CNC3=C2C=CC=C3)C2=C(O1)C=CC=C2,-9.15
AB00681054-01,FC1=CC(CSC2=NC(=O)NC3=C2CCCC3)=CC=C1,9.8
AB00681054-01,FC1=CC(CSC2=NC(=O)NC3=C2CCCC3)=CC=C1,-9.62
AB00681054-01,FC1=CC(CSC2=NC(=O)NC3=C2CCCC3)=CC=C1,-10.63
AB00681054-01,FC1=CC(CSC2=NC(=O)NC3=C2CCCC3)=CC=C1,-14.57
AB00681053-01,ClC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCCC2,39.98
AB00681053-01,ClC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCCC2,-8.19
AB00681053-01,ClC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCCC2,-8.34
AB00681053-01,ClC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCCC2,-9.19
AB00681052-01,CC1=CC(CSC2=NC(=O)NC3=C2CCC3)=CC=C1,-8.04
AB00681052-01,CC1=CC(CSC2=NC(=O)NC3=C2CCC3)=CC=C1,-13.24
AB00681052-01,CC1=CC(CSC2=NC(=O)NC3=C2CCC3)=CC=C1,-18.17
AB00681051-01,FC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCC2,-0.39
AB00681051-01,FC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCC2,-11.17
AB00681051-01,FC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCC2,-17.59
AB00681050-01,ClC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCC2,32.57
AB00681050-01,ClC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCC2,8.08
AB00681050-01,ClC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCC2,6.23
AB00681050-01,ClC1=CC=C(C=C1)C(=O)CSC1=NC(=O)NC2=C1CCC2,-7.73
AB00681049-01,O=C(CSC1=NC(=O)NC2=C1CCC2)C1=CC=CC=C1,1.86
AB00681049-01,O=C(CSC1=NC(=O)NC2=C1CCC2)C1=CC=CC=C1,-2
AB00681049-01,O=C(CSC1=NC(=O)NC2=C1CCC2)C1=CC=CC=C1,-7.61
AB00681049-01,O=C(CSC1=NC(=O)NC2=C1CCC2)C1=CC=CC=C1,-13.66
AB00681048-01,O=C(CSC1=NC(=O)NC2=C1CCC2)N1CCCC1,-5.2
AB00681048-01,O=C(CSC1=NC(=O)NC2=C1CCC2)N1CCCC1,-7.45
AB00681048-01,O=C(CSC1=NC(=O)NC2=C1CCC2)N1CCCC1,-11.42
AB00681048-01,O=C(CSC1=NC(=O)NC2=C1CCC2)N1CCCC1,-11.96
AB00681047-01,[O-][N+](=O)C1=CC=CC(NC(=O)C(=O)NCC(N2CCN(CC3=CC=CC=C3)CC2)C2=CC=CN=C2)=C1,-0.41
AB00681047-01,[O-][N+](=O)C1=CC=CC(NC(=O)C(=O)NCC(N2CCN(CC3=CC=CC=C3)CC2)C2=CC=CN=C2)=C1,-4.27
AB00681047-01,[O-][N+](=O)C1=CC=CC(NC(=O)C(=O)NCC(N2CCN(CC3=CC=CC=C3)CC2)C2=CC=CN=C2)=C1,-12.37
AB00681047-01,[O-][N+](=O)C1=CC=CC(NC(=O)C(=O)NCC(N2CCN(CC3=CC=CC=C3)CC2)C2=CC=CN=C2)=C1,-14.47
AB00681046-01,CC1=C(C)C=C(NC(=O)NC2=NN=C(SCC(=O)NCC3=CC=CO3)S2)C=C1,0.13
AB00681046-01,CC1=C(C)C=C(NC(=O)NC2=NN=C(SCC(=O)NCC3=CC=CO3)S2)C=C1,-11.98
AB00681046-01,CC1=C(C)C=C(NC(=O)NC2=NN=C(SCC(=O)NCC3=CC=CO3)S2)C=C1,-14.48
AB00681046-01,CC1=C(C)C=C(NC(=O)NC2=NN=C(SCC(=O)NCC3=CC=CO3)S2)C=C1,-15.03
AB00681045-01,CC1CN(CC(C)O1)C(=O)CSC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,0.24
AB00681045-01,CC1CN(CC(C)O1)C(=O)CSC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,-7.87
AB00681045-01,CC1CN(CC(C)O1)C(=O)CSC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,-11.24
AB00681045-01,CC1CN(CC(C)O1)C(=O)CSC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,-14.02
AB00681044-01,CC(=O)CSC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,1.27
AB00681044-01,CC(=O)CSC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,-10.5
AB00681044-01,CC(=O)CSC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,-10.79
AB00681044-01,CC(=O)CSC1=NN=C(NC(=O)NC2=CC=CC=C2)S1,-20.52
AB00681043-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)NCC2=CC=C(F)C=C2)S1,3.27
AB00681043-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)NCC2=CC=C(F)C=C2)S1,-11.11
AB00681043-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)NCC2=CC=C(F)C=C2)S1,-15.73
AB00681043-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)NCC2=CC=C(F)C=C2)S1,-31.2
AB00681042-01,CC(C)N(C(C)C)C(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,10.44
AB00681042-01,CC(C)N(C(C)C)C(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,4.75
AB00681042-01,CC(C)N(C(C)C)C(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-1.95
AB00681042-01,CC(C)N(C(C)C)C(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-12.3
AB00681041-01,CC1CN(CC(C)O1)C(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-3.17
AB00681041-01,CC1CN(CC(C)O1)C(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-9.25
AB00681041-01,CC1CN(CC(C)O1)C(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-12.11
AB00681041-01,CC1CN(CC(C)O1)C(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-17.87
AB00681040-01,CNC(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-9.22
AB00681040-01,CNC(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-10.54
AB00681040-01,CNC(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-18.07
AB00681040-01,CNC(=O)CSC1=NN=C(NC(=O)NC(C)(C)C)S1,-22.54
AB00681039-01,CC(C)(C)NC(=O)NC1=NN=C(SCC#N)S1,-8.92
AB00681039-01,CC(C)(C)NC(=O)NC1=NN=C(SCC#N)S1,-15.63
AB00681039-01,CC(C)(C)NC(=O)NC1=NN=C(SCC#N)S1,-16.56
AB00681039-01,CC(C)(C)NC(=O)NC1=NN=C(SCC#N)S1,-18.9
AB00681038-01,CC(=O)NC1=CC=CC(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)=C1,-1.78
AB00681038-01,CC(=O)NC1=CC=CC(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)=C1,-14.43
AB00681038-01,CC(=O)NC1=CC=CC(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)=C1,-17.48
AB00681038-01,CC(=O)NC1=CC=CC(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)=C1,-22.3
AB00681037-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)NC2=CC(=CC=C2)[N+]([O-])=O)S1,7.28
AB00681037-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)NC2=CC(=CC=C2)[N+]([O-])=O)S1,-11.35
AB00681037-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)NC2=CC(=CC=C2)[N+]([O-])=O)S1,-14.08
AB00681037-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)NC2=CC(=CC=C2)[N+]([O-])=O)S1,-23.2
AB00681036-01,COC1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)C=C1,1.6
AB00681036-01,COC1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)C=C1,-16.22
AB00681036-01,COC1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)C=C1,-17.8
AB00681036-01,COC1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)C=C1,-26.26
AB00681035-01,COC1=CC=CC(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)=C1,6.62
AB00681035-01,COC1=CC=CC(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)=C1,-15.99
AB00681035-01,COC1=CC=CC(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)=C1,-19.88
AB00681035-01,COC1=CC=CC(NC(=O)CSC2=NN=C(NC(=O)NC(C)(C)C)S2)=C1,-40.38
AB00681034-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(N)=O)S1,6.6
AB00681034-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(N)=O)S1,0.67
AB00681034-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(N)=O)S1,-2.3
AB00681034-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(N)=O)S1,-13.44
AB00681033-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)N2CCCC2)S1,-3.93
AB00681033-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)N2CCCC2)S1,-7.47
AB00681033-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)N2CCCC2)S1,-11.18
AB00681033-01,CC(C)(C)NC(=O)NC1=NN=C(SCC(=O)N2CCCC2)S1,-19.49
AB00681032-01,NC(=O)CSC1=NN=C(NC(=O)NC2CCCCC2)S1,-6.62
AB00681032-01,NC(=O)CSC1=NN=C(NC(=O)NC2CCCCC2)S1,-10.82
AB00681032-01,NC(=O)CSC1=NN=C(NC(=O)NC2CCCCC2)S1,-13.45
AB00681032-01,NC(=O)CSC1=NN=C(NC(=O)NC2CCCCC2)S1,-23.05
AB00681031-01,CC(=O)CSC1=NN=C(NC(=O)NC2=CC=C(F)C=C2)S1,6.3
AB00681031-01,CC(=O)CSC1=NN=C(NC(=O)NC2=CC=C(F)C=C2)S1,-15.66
AB00681031-01,CC(=O)CSC1=NN=C(NC(=O)NC2=CC=C(F)C=C2)S1,-16.72
AB00681031-01,CC(=O)CSC1=NN=C(NC(=O)NC2=CC=C(F)C=C2)S1,-19.39
AB00681030-01,COC(=O)C1=CC=C(CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)O1,-8.76
AB00681030-01,COC(=O)C1=CC=C(CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)O1,-10.96
AB00681030-01,COC(=O)C1=CC=C(CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)O1,-20.25
AB00681030-01,COC(=O)C1=CC=C(CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)O1,-23.74
AB00681029-01,CC(=O)NC1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)C=C1,-5.21
AB00681029-01,CC(=O)NC1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)C=C1,-13.19
AB00681029-01,CC(=O)NC1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)C=C1,-13.71
AB00681029-01,CC(=O)NC1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)C=C1,-23.16
AB00681028-01,CC(=O)C1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)C=C1,-4.2
AB00681028-01,CC(=O)C1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)C=C1,-12.92
AB00681028-01,CC(=O)C1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)C=C1,-14.51
AB00681028-01,CC(=O)C1=CC=C(NC(=O)CSC2=NN=C(NC(=O)NC3=CC=C(F)C=C3)S2)C=C1,-24.84
AB00681027-01,ClC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C(Cl)=C1,9.84
AB00681027-01,ClC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C(Cl)=C1,-12.19
AB00681027-01,ClC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C(Cl)=C1,-14.52
AB00681027-01,ClC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C(Cl)=C1,-28.89
AB00681026-01,ClC1=CC(COC2=CC=CC3=C2CCNC3=O)=CC=C1,17.45
AB00681026-01,ClC1=CC(COC2=CC=CC3=C2CCNC3=O)=CC=C1,-1.62
AB00681026-01,ClC1=CC(COC2=CC=CC3=C2CCNC3=O)=CC=C1,-7.02
AB00681026-01,ClC1=CC(COC2=CC=CC3=C2CCNC3=O)=CC=C1,-16.75
AB00681025-01,FC1=C(COC2=CC=CC3=C2CCNC3=O)C=CC=C1,11.18
AB00681025-01,FC1=C(COC2=CC=CC3=C2CCNC3=O)C=CC=C1,2.94
AB00681025-01,FC1=C(COC2=CC=CC3=C2CCNC3=O)C=CC=C1,-4.01
AB00681025-01,FC1=C(COC2=CC=CC3=C2CCNC3=O)C=CC=C1,-15.08
AB00681024-01,FC(F)(F)C1=CC=CC(COC2=CC=CC3=C2CCNC3=O)=C1,1.61
AB00681024-01,FC(F)(F)C1=CC=CC(COC2=CC=CC3=C2CCNC3=O)=C1,-10.21
AB00681024-01,FC(F)(F)C1=CC=CC(COC2=CC=CC3=C2CCNC3=O)=C1,-18.36
AB00681024-01,FC(F)(F)C1=CC=CC(COC2=CC=CC3=C2CCNC3=O)=C1,-20.21
AB00681023-01,ClC1=C(COC2=CC=CC3=C2CCNC3=O)C=CC=C1,1.23
AB00681023-01,ClC1=C(COC2=CC=CC3=C2CCNC3=O)C=CC=C1,-6.24
AB00681023-01,ClC1=C(COC2=CC=CC3=C2CCNC3=O)C=CC=C1,-18.39
AB00681023-01,ClC1=C(COC2=CC=CC3=C2CCNC3=O)C=CC=C1,-21.08
AB00681022-01,BrC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-6.86
AB00681022-01,BrC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-12.9
AB00681022-01,BrC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-21.15
AB00681022-01,BrC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-24.35
AB00681021-01,FC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,12.42
AB00681021-01,FC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-0.55
AB00681021-01,FC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-18.05
AB00681021-01,FC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-18.2
AB00681020-01,FC1=CC(COC2=CC=CC3=C2CCNC3=O)=CC=C1,14.91
AB00681020-01,FC1=CC(COC2=CC=CC3=C2CCNC3=O)=CC=C1,-5.66
AB00681020-01,FC1=CC(COC2=CC=CC3=C2CCNC3=O)=CC=C1,-20.47
AB00681020-01,FC1=CC(COC2=CC=CC3=C2CCNC3=O)=CC=C1,-25.93
AB00681019-01,CC1=C(Cl)C=C(NC(=O)COC2=CC=CC3=C2CCNC3=O)C=C1,5.12
AB00681019-01,CC1=C(Cl)C=C(NC(=O)COC2=CC=CC3=C2CCNC3=O)C=C1,-12.89
AB00681019-01,CC1=C(Cl)C=C(NC(=O)COC2=CC=CC3=C2CCNC3=O)C=C1,-15.43
AB00681019-01,CC1=C(Cl)C=C(NC(=O)COC2=CC=CC3=C2CCNC3=O)C=C1,-33.26
AB00681018-01,C=CCNC(=O)COC1=CC=CC2=C1CCNC2=O,8.85
AB00681018-01,C=CCNC(=O)COC1=CC=CC2=C1CCNC2=O,-1.89
AB00681018-01,C=CCNC(=O)COC1=CC=CC2=C1CCNC2=O,-5.4
AB00681018-01,C=CCNC(=O)COC1=CC=CC2=C1CCNC2=O,-12.83
AB00681017-01,COCCNC(=O)COC1=CC=CC2=C1CCNC2=O,-5.01
AB00681017-01,COCCNC(=O)COC1=CC=CC2=C1CCNC2=O,-8.49
AB00681017-01,COCCNC(=O)COC1=CC=CC2=C1CCNC2=O,-9.82
AB00681017-01,COCCNC(=O)COC1=CC=CC2=C1CCNC2=O,-14.93
AB00681016-01,CC(C)NC(=O)COC1=CC=CC2=C1CCNC2=O,-3.41
AB00681016-01,CC(C)NC(=O)COC1=CC=CC2=C1CCNC2=O,-10.12
AB00681016-01,CC(C)NC(=O)COC1=CC=CC2=C1CCNC2=O,-15.5
AB00681016-01,CC(C)NC(=O)COC1=CC=CC2=C1CCNC2=O,-25.54
AB00681015-01,CCCNC(=O)COC1=CC=CC2=C1CCNC2=O,-9.13
AB00681015-01,CCCNC(=O)COC1=CC=CC2=C1CCNC2=O,-9.43
AB00681015-01,CCCNC(=O)COC1=CC=CC2=C1CCNC2=O,-14.03
AB00681015-01,CCCNC(=O)COC1=CC=CC2=C1CCNC2=O,-15.8
AB00681014-01,CNC(=O)COC1=CC=CC2=C1CCNC2=O,1.29
AB00681014-01,CNC(=O)COC1=CC=CC2=C1CCNC2=O,-12.09
AB00681014-01,CNC(=O)COC1=CC=CC2=C1CCNC2=O,-13.81
AB00681014-01,CNC(=O)COC1=CC=CC2=C1CCNC2=O,-15.28
AB00681013-01,COC1=CC=C(C=C1)C(=O)COC1=CC=CC2=C1CCNC2=O,8.55
AB00681013-01,COC1=CC=C(C=C1)C(=O)COC1=CC=CC2=C1CCNC2=O,-3.18
AB00681013-01,COC1=CC=C(C=C1)C(=O)COC1=CC=CC2=C1CCNC2=O,-13.56
AB00681013-01,COC1=CC=C(C=C1)C(=O)COC1=CC=CC2=C1CCNC2=O,-22.37
AB00681012-01,CC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,13.64
AB00681012-01,CC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-0.67
AB00681012-01,CC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-12.71
AB00681012-01,CC1=CC=C(COC2=CC=CC3=C2CCNC3=O)C=C1,-21.77
AB00681011-01,CC1=CC=CC(COC2=CC=CC3=C2CCNC3=O)=C1,19.11
AB00681011-01,CC1=CC=CC(COC2=CC=CC3=C2CCNC3=O)=C1,2.86
AB00681011-01,CC1=CC=CC(COC2=CC=CC3=C2CCNC3=O)=C1,-12.99
AB00681011-01,CC1=CC=CC(COC2=CC=CC3=C2CCNC3=O)=C1,-22.1
AB00681010-01,O=C1NCCC2=C1C=CC=C2OCC1=CC=CC=C1,17.8
AB00681010-01,O=C1NCCC2=C1C=CC=C2OCC1=CC=CC=C1,16.46
AB00681010-01,O=C1NCCC2=C1C=CC=C2OCC1=CC=CC=C1,9.12
AB00681010-01,O=C1NCCC2=C1C=CC=C2OCC1=CC=CC=C1,-8.67
AB00681009-01,O=C(COC1=CC=CC2=C1CCNC2=O)NCCC1=CC=CC=C1,-0.1
AB00681009-01,O=C(COC1=CC=CC2=C1CCNC2=O)NCCC1=CC=CC=C1,-2.68
AB00681009-01,O=C(COC1=CC=CC2=C1CCNC2=O)NCCC1=CC=CC=C1,-9.98
AB00681009-01,O=C(COC1=CC=CC2=C1CCNC2=O)NCCC1=CC=CC=C1,-11.53
AB00681008-01,O=C(COC1=CC=CC2=C1CCNC2=O)NCC1=CC=CC=C1,0.84
AB00681008-01,O=C(COC1=CC=CC2=C1CCNC2=O)NCC1=CC=CC=C1,-3.35
AB00681008-01,O=C(COC1=CC=CC2=C1CCNC2=O)NCC1=CC=CC=C1,-11.76
AB00681008-01,O=C(COC1=CC=CC2=C1CCNC2=O)NCC1=CC=CC=C1,-23.64
AB00681007-01,O=C(COC1=CC=CC2=C1CCNC2=O)NC1CCCC1,-0.8
AB00681007-01,O=C(COC1=CC=CC2=C1CCNC2=O)NC1CCCC1,-13.79
AB00681007-01,O=C(COC1=CC=CC2=C1CCNC2=O)NC1CCCC1,-14.72
AB00681007-01,O=C(COC1=CC=CC2=C1CCNC2=O)NC1CCCC1,-18.97
AB00681006-01,CC(=O)C1=CC=C(NC(=O)COC2=CC=CC3=C2CCNC3=O)C=C1,-7.07
AB00681006-01,CC(=O)C1=CC=C(NC(=O)COC2=CC=CC3=C2CCNC3=O)C=C1,-10.12
AB00681006-01,CC(=O)C1=CC=C(NC(=O)COC2=CC=CC3=C2CCNC3=O)C=C1,-14.75
AB00681006-01,CC(=O)C1=CC=C(NC(=O)COC2=CC=CC3=C2CCNC3=O)C=C1,-21.6
